"","No","CAS.","Compound.Name","Formula","Breath","X"
"220",116,"17671-27-1","behenyl behenate","C44H88O2","[344]",""
"221",117,"100-52-7","benzaldehyde","C7H6O","[6, 57, 61,",""
"230",119,"455-14-1","benzenamine, 4‐ (trifluotomethyl)‐","C7H6F3N","[364]",""
"231",120,"71-43-2","benzene","C6H6","[6, 29, 57,",""
"252",123,"108-86-1","benzene, bromo- / bromobenzene","C6H5Br","[353]",""
"253",124,"402-43-7","benzene, 1-bromo-4- (trifluoromethyl)-","C7H4BrF3","[277]",""
"255",126,"19219-84-2","benzene, (1,3- dimethylbutyl)-","C12H18","[274]",""
"258",129,"na","benzene, 1,2-bis(hexyloxy)- 4-nitro-","C18H29N O4","[369]",""
"259",130,"1076-56-8","benzene, 2-methoxy-4- methyl-1-(1-methylethyl)- / thymol methyl ether","C11H16O","[29]",""
"260",131,"na","benzene, 1,1′‐(1‐methyl‐2‐ butynylidene)bis","C17H16","[364]",""
"261",132,"538-68-1","benzene, pentyl-","C11H16","[274, 380]",""
"262",133,"120-82-1","benzene, 1,2,4-trichloro- / 1,2,4-trichlorobenzene","C6H3Cl3","[353, 372]",""
"263",134,"n/a","benzene1,2,3triethyl‐ 5methyl","C13H20","[364]",""
"268",139,"271-89-6","1-benzofuran","C8H6O","[408]",""
"269",140,"65-85-0","benzoic acid / Benzenecarboxylic acid","C7H6O2","[57, 378,",""
"271",147,"530-57-4","benzoic acid, 4‐hydroxy‐ 3,5‐dimethoxy‐","C9H10O5","[364]",""
"272",148,"100-47-0","benzonitrile","C7H5N","[6, 275,",""
"275",149,"119-61-9","benzophenone","C13H10O","[118]",""
"277",151,"106-51-4","1,4-benzoquinone","C6H4O2","[378]",""
"278",152,"95-16-9","1,3-benzothiazole","C7H5NS","[6, 43, 47,",""
"282",155,"100-51-6","benzyl alcohol / benzenemethanol","C7H8O","[408]",""
"283",156,"300-57-2","1-benzylethene / Allylbenzene","C9H10","[408]",""
"284",161,"1592-33-2","2,2'-bifuran, octahydro-","C8H14O2","[265]",""
"285",162,"92-52-4","1,1'-biphenyl","C12H10","[61, 274,",""
"288",167,"13292-87-0","borane-methyl sulfide complex","C2H9BS","[369]",""
"289",168,"507-70-0","borneol","C10H18O","[388]",""
"295",173,"75-27-4","bromodichloromethane","CHBrCl2","[373, 382]",""
"296",174,"74-83-9","bromomethane","CH3Br","[408]",""
"297",175,"106-98-9","but-1-ene","C4H8","[6, 275,",""
"299",176,"106-99-0","1,3-butadiene","C4H6","[6, 106,",""
"305",179,"123-72-8","butanal / Butyraldehyde","C4H8O2","[6, 39, 87,",""
"315",181,"106-97-8","n-butane","C4H10","[6, 106,",""
"320",182,"ui","butane ui","C4H10","[55, 392]",""
"321",183,"590-88-5","1,3-butanediamine","C4H12N2","[364]",""
"322",184,"110-60-1","1,4-butanediamine / putrescine","C4H12N2","[378, 408]",""
"323",185,"513-85-9","2,3-butanediol","C4H10O2","[360, 378,",""
"325",186,"107-88-0","1,3-butanediol","C4H10O","[377]",""
"326",187,"431-03-8","2,3-butanedione / diacetyl","C4H6O2","[263, 106,",""
"331",188,"2432-51-1","butanethioic acid, (S)-methyl ester / 1- (methylsulfanyl)butan-1-one","C5H10OS","[383]",""
"332",189,"107-92-6","butanoic acid / butyric acid","C4H8O2","[39, 87,",""
"343",192,"109-21-7","butanoic acid, butyl ester / butyl butanoate","C8H16O","[324]",""
"345",193,"105-54-4","butanoic acid, ethyl ester / ethyl butanoate","C6H12O","[331, 336,",""
"348",195,"106-27-4","butanoic acid, isopentyl ester","C9H18O","[408]",""
"352",197,"105-66-8","butanoic acid, propyl ester / n-propyl butyrate / propyl butanoate","C7H14O2","[408]",""
"354",198,"103499-40-7","butanoic acid, 2-hydroxy-","C8H16O3","[377]",""
"358",201,"71-36-3","1-butanol","C4H10O","[56, 277,",""
"364",202,"78-92-2","2-butanol","C4H10O","[262, 408]",""
"366",203,"78-93-3","butanone / 2-butanone / methyl ethyl ketone / MEK","C4H8O","[6, 56, 57,",""
"380",204,"63766-91-6","1,2,3-butatrien-1-one","C4H2O","[400]",""
"382",206,"78-94-4","3-buten-2-one / methyl vinyl","C4H6O","[6, 106,",""
"386",207,"689-97-4","1-buten-3-yne","C4H4","[4, 406]",""
"388",209,"123-73-9","(E)-2-butenal / (E)-","C4H6O2","[6, 275,",""
"390",210,"4170-30-3","2-butenal / crotonaldehyde","C4H6O2","[6, 275]",""
"393",213,"107-01-7","2-butene","C4H8","[6, 274]",""
"394",214,"25167-67-3","butene ui","C4H8","[324]",""
"395",215,"624-64-6","2-butene, (E)-","C4H8","[6]",""
"396",216,"590-18-1","2-butene, (Z)-","C4H8","[6]",""
"399",220,"4358-59-2","2-butenoic acid, methyl ester, (Z)-","C5H8O2","[408]",""
"402",223,"57545-63-8","4-sec-Butoxy-2-butanone","C8H16O2","[277]",""
"403",224,"111-76-2","2-butoxyethan-1-ol","C6H14O2","[408, 277]",""
