ion_mass;ion_formula;formula;mass_monoiso;name_iupac;pubchem_cid;CAS_number
61,0284045;[C2H4O2+H]+;C2H4O2;60,02112937;acetic acid;176;64-19-7
61,0284045;[C2H4O2+H]+;C2H4O2;60,02112937;2-hydroxyacetaldehyde;756;141-46-8
61,0284045;[C2H4O2+H]+;C2H4O2;60,02112937;methyl formate;7865;107-31-3
61,0396385;[CH4N2O+H]+;CH4N2O;60,03236276;urea;1176;57-13-6
61,0647905;[C3H8O+H]+;C3H8O;60,05751487;propan-2-ol;3776;67-63-0
61,0647905;[C3H8O+H]+;C3H8O;60,05751487;methoxyethane;10903;540-67-0
61,0647905;[C3H8O+H]+;C3H8O;60,05751487;propan-1-ol;1031;71-23-8
61,0760245;[C2H8N2+H]+;C2H8N2;60,06874826;ethylhydrazine;29062;624-80-6
61,0760245;[C2H8N2+H]+;C2H8N2;60,068748;hydrazine, 1,2‐dimethyl‐;NA;540-73-8
62,0236535;[CH3NO2+H]+;CH3NO2;61,01637834;nitromethane;6375;75-52-5
62,0600395;[C2H7NO+H]+;C2H7NO;61,05276385;N-methoxymethanamine;14232;1117-97-1
62,9950925;[NO3+H]+;NO3;61,98781786;nitrate;943;14797-55-8
62,9996035;[C2H3Cl+H]+;C2H3Cl;61,9923278;chloroethylene;6338;75-01-4
63,0262975;[C2H6S+H]+;C2H6S;62,01902136;methylsulfanylmethane;1068;75-18-3
63,0262975;[C2H6S+H]+;C2H6S;62,01902136;ethanethiol;6343;75-08-1
63,9368735;[Cu+H]+;Cu;62,929597;copper;23978;7440-50-8
63,9851605;[HNOS+H]+;HNOS;62,97788483;thionitrous S-acid;11389353;29335-37-3
64,0029175;[HNO3+H]+;HNO3;62,995644;nitrate/nitric acid;NA;nitrate/nitric acid
64,9364185;[Zn+H]+;Zn;63,929142;zinc;23994;7440-66-6
64,9691755;[O2S+H]+;O2S;63,96190041;sulfur dioxide;1119;05/09/7446
64,9691755;[O2S+H]+;O2S;63,961901;sulfur dioxide;NA;05/09/7446
67,0178405;[C4H2O+H]+;C4H2O;66,010565;1,2,3-butatrien-1-one;NA;63766-91-6
67,0290745;[C3H2N2+H]+;C3H2N2;66,02179807;propanedinitrile;8010;109-77-3
