"element" "isotope" "mass" "abundance" "ratioC"
"123" "Mo" "96Mo" 95.9046795 0.1668 0
"124" "Mo" "97Mo" 96.9060215 0.0956 0
"125" "Mo" "98Mo" 97.9054082 0.2419 0
"126" "Mo" "100Mo" 99.90747 0.0967 0
"127" "Ru" "96Ru" 95.907598 0.0554 0
"128" "Ru" "98Ru" 97.905287 0.0187 0
"129" "Ru" "99Ru" 98.9059393 0.1276 0
"130" "Ru" "100Ru" 99.9042195 0.126 0
"131" "Ru" "101Ru" 100.9055821 0.1706 0
"132" "Ru" "102Ru" 101.9043493 0.3155 0
"133" "Ru" "104Ru" 103.905433 0.1862 0
"134" "Rh" "103Rh" 102.905504 1 0
"135" "Pd" "102Pd" 101.905609 0.0102 0
"136" "Pd" "104Pd" 103.904036 0.1114 0
"137" "Pd" "105Pd" 104.905085 0.2233 0
"138" "Pd" "106Pd" 105.903486 0.2733 0
"139" "Pd" "108Pd" 107.903892 0.2646 0
"140" "Pd" "110Pd" 109.905153 0.1172 0
"141" "Ag" "107Ag" 106.905097 0.51839 0
"142" "Ag" "109Ag" 108.904752 0.48161 0
"143" "Cd" "106Cd" 105.906459 0.0125 0
"144" "Cd" "108Cd" 107.904184 0.0089 0
"145" "Cd" "110Cd" 109.9030021 0.1249 0
"146" "Cd" "111Cd" 110.9041781 0.128 0
"147" "Cd" "112Cd" 111.9027578 0.2413 0
"148" "Cd" "113Cd" 112.9044017 0.1222 0
"149" "Cd" "114Cd" 113.9033585 0.2873 0
"150" "Cd" "116Cd" 115.904756 0.0749 0
"151" "In" "113In" 112.904058 0.0429 0
"152" "In" "115In" 114.903878 0.9571 0
"153" "Sn" "112Sn" 111.904818 0.0097 0
"154" "Sn" "114Sn" 113.902779 0.0066 0
"155" "Sn" "115Sn" 114.903342 0.0034 0
"156" "Sn" "116Sn" 115.901741 0.1454 0
"157" "Sn" "117Sn" 116.902952 0.0768 0
"158" "Sn" "118Sn" 117.901603 0.2422 0
"159" "Sn" "119Sn" 118.903308 0.0859 0
"160" "Sn" "120Sn" 119.9021947 0.3258 0
"161" "Sn" "122Sn" 121.903439 0.0463 0
"162" "Sn" "124Sn" 123.9052739 0.0579 0
"163" "Sb" "121Sb" 120.9038157 0.5721 0
"164" "Sb" "123Sb" 122.904214 0.4279 0
"165" "Te" "120Te" 119.90402 9e-04 0
"166" "Te" "122Te" 121.9030439 0.0255 0
"167" "Te" "123Te" 122.90427 0.0089 0
"168" "Te" "124Te" 123.9028179 0.0474 0
"169" "Te" "125Te" 124.9044307 0.0707 0
"170" "Te" "126Te" 125.9033117 0.1884 0
"171" "Te" "128Te" 127.9044631 0.3174 0
"172" "Te" "130Te" 129.9062244 0.3408 0
"173" "I" "127I" 126.904473 1 0
"174" "Xe" "124Xe" 123.905893 0.000952 0
"175" "Xe" "126Xe" 125.904274 0.00089 0
"176" "Xe" "128Xe" 127.9035313 0.019102 0
"177" "Xe" "129Xe" 128.9047794 0.264006 0
"178" "Xe" "130Xe" 129.903508 0.04071 0
"179" "Xe" "131Xe" 130.9050824 0.212324 0
"180" "Xe" "132Xe" 131.9041535 0.269086 0
"181" "Xe" "134Xe" 133.9053945 0.104357 0
"182" "Xe" "136Xe" 135.907219 0.088573 0
"183" "Cs" "133Cs" 132.9054519 1 0
"184" "Ba" "130Ba" 129.9063208 0.00106 0
"185" "Ba" "132Ba" 131.9050613 0.00101 0
"186" "Ba" "134Ba" 133.9045084 0.02417 0
"187" "Ba" "135Ba" 134.9056886 0.06592 0
"188" "Ba" "136Ba" 135.9045759 0.07854 0
"189" "Ba" "137Ba" 136.9058274 0.11232 0
"190" "Ba" "138Ba" 137.9052472 0.71698 0
"191" "La" "138La" 137.907112 9e-04 0
"192" "La" "139La" 138.9063533 0.9991 0
"193" "Ce" "136Ce" 135.907172 0.00185 0
"194" "Ce" "138Ce" 137.905991 0.00251 0
"195" "Ce" "140Ce" 139.9054387 0.8845 0
"196" "Ce" "142Ce" 141.909244 0.11114 0
"197" "Pr" "141Pr" 140.9076528 1 0
"198" "Nd" "142Nd" 141.9077233 0.272 0
"199" "Nd" "143Nd" 142.9098143 0.122 0
"200" "Nd" "144Nd" 143.9100873 0.238 0
"201" "Nd" "145Nd" 144.9125736 0.083 0
"202" "Nd" "146Nd" 145.9131169 0.172 0
"203" "Nd" "148Nd" 147.916893 0.057 0
"204" "Nd" "150Nd" 149.920891 0.056 0
"205" "Sm" "144Sm" 143.911999 0.0307 0
"206" "Sm" "147Sm" 146.9148979 0.1499 0
"207" "Sm" "148Sm" 147.9148227 0.1124 0
"208" "Sm" "149Sm" 148.9171847 0.1382 0
"209" "Sm" "150Sm" 149.9172755 0.0738 0
"210" "Sm" "152Sm" 151.9197324 0.2675 0
"211" "Sm" "154Sm" 153.9222093 0.2275 0
"212" "Eu" "151Eu" 150.9198502 0.4781 0
"213" "Eu" "153Eu" 152.9212303 0.5219 0
"214" "Gd" "152Gd" 151.919791 0.002 0
"215" "Gd" "154Gd" 153.9208656 0.0218 0
"216" "Gd" "155Gd" 154.922622 0.148 0
"217" "Gd" "156Gd" 155.9221227 0.2047 0
"218" "Gd" "157Gd" 156.9239601 0.1565 0
"219" "Gd" "158Gd" 157.9241039 0.2484 0
"220" "Gd" "160Gd" 159.9270541 0.2186 0
"221" "Tb" "159Tb" 158.9253468 1 0
"222" "Dy" "156Dy" 155.924283 0.00056 0
"223" "Dy" "158Dy" 157.924409 0.00095 0
"224" "Dy" "160Dy" 159.9251975 0.02329 0
"225" "Dy" "161Dy" 160.9269334 0.18889 0
"226" "Dy" "162Dy" 161.9267984 0.25475 0
"227" "Dy" "163Dy" 162.9287312 0.24896 0
"228" "Dy" "164Dy" 163.9291748 0.2826 0
"229" "Ho" "165Ho" 164.9303221 1 0
"230" "Er" "162Er" 161.928778 0.00139 0
"231" "Er" "164Er" 163.9292 0.01601 0
"232" "Er" "166Er" 165.9302931 0.33503 0
"233" "Er" "167Er" 166.9320482 0.22869 0
"234" "Er" "168Er" 167.9323702 0.26978 0
"235" "Er" "170Er" 169.9354643 0.1491 0
"236" "Tm" "169Tm" 168.9342133 1 0
"237" "Yb" "168Yb" 167.933897 0.0013 0
"238" "Yb" "170Yb" 169.9347618 0.0304 0
"239" "Yb" "171Yb" 170.9363258 0.1428 0
"240" "Yb" "172Yb" 171.9363815 0.2183 0
"241" "Yb" "173Yb" 172.9382108 0.1613 0
"242" "Yb" "174Yb" 173.9388621 0.3183 0
"243" "Yb" "176Yb" 175.9425717 0.1276 0
"244" "Lu" "175Lu" 174.9407718 0.9741 0
"245" "Lu" "176Lu" 175.9426863 0.0259 0
"246" "Hf" "174Hf" 173.940046 0.0016 0
"247" "Hf" "176Hf" 175.9414086 0.0526 0
"248" "Hf" "177Hf" 176.9432207 0.186 0
"249" "Hf" "178Hf" 177.9436988 0.2728 0
"250" "Hf" "179Hf" 178.9458161 0.1362 0
"251" "Hf" "180Hf" 179.94655 0.3508 0
"252" "Ta" "180Ta" 179.9474648 0.00012 0
"253" "Ta" "181Ta" 180.9479958 0.99988 0
"254" "W" "180W" 179.946704 0.0012 0
"255" "W" "182W" 181.9482042 0.265 0
"256" "W" "183W" 182.950223 0.1431 0
"257" "W" "184W" 183.9509312 0.3064 0
"258" "W" "186W" 185.9543641 0.2843 0
"259" "Re" "185Re" 184.952955 0.374 0
"260" "Re" "187Re" 186.9557531 0.626 0
"261" "Os" "184Os" 183.9524891 2e-04 0
"262" "Os" "186Os" 185.9538382 0.0159 0
"263" "Os" "187Os" 186.9557505 0.0196 0
"264" "Os" "188Os" 187.9558382 0.1324 0
"265" "Os" "189Os" 188.9581475 0.1615 0
"266" "Os" "190Os" 189.958447 0.2626 0
"267" "Os" "192Os" 191.9614807 0.4078 0
"268" "Ir" "191Ir" 190.960594 0.373 0
"269" "Ir" "193Ir" 192.9629264 0.627 0
"270" "Pt" "190Pt" 189.959932 0.00014 0
"271" "Pt" "192Pt" 191.961038 0.00782 0
"272" "Pt" "194Pt" 193.9626803 0.32967 0
"273" "Pt" "195Pt" 194.9647911 0.33832 0
"274" "Pt" "196Pt" 195.9649515 0.25242 0
