formula;mass;pubChemId
C7H12;96.173;12363
C6H8;80.13;11605
C7H10O;110.156;75098
C6H12;84.162;8078
C6H10O;98.145;7967
C6H10;82.146;8079
C6H8O;96.129;13594
C7H7NO;121.139;7671
C11H22;154.297;20284
C8H16;112.216;9266
C5H6;66.103;7612
C5H10;70.135;9253
C5H9NO;99.133;14500
C5H6O;82.102;13588
C3H6;42.081;6351
C10H20O;156.269;8175
C10H22;142.286;15600
C10H20;140.27;5364559
C6H4Cl2;146.998;7239
C5H8Cl2;139.019;548852
C2H4Cl2;98.954;11
C6H8N2;108.144;20686
C3H2N2;66.063;8010
C8H9NO2;151.165;8635
C5H11NO;101.149;12051
C5H12N2O;116.164;12472
C5H5NO2;111.1;12473
C3H8O2;76.095;8020
C5H12O3;120.148;12190
C4H9NO;87.122;68424
C5H8;68.119;11714
C4H8N2;84.122;88022
C8H15NO;141.214;138887
C10H10O;146.189;33109
C6H14;86.178;6403
C3H6O3;90.078;12021
C3H6N2;70.095;15112
C8H14;110.2;15480
CH4O4S;112.099;57459307
C12H26;170.34;86544
C12H24;168.324;521583
C6H9NO;111.144;574037
C6H8O4;144.126;7272
C3H7NO;73.095;6228
C9H16;124.227;5370123
C9H20;128.259;14062
C13H16O2;204.269;251071
C8H18;114.232;11551
C11H24;156.313;28456
C23H20;296.413;192908
C10H18;138.254;520985
C7H16;100.205;11542
C5H8N2;96.133;136836
C7H9N;107.156;7937
C6H8N2O2;140.142;70122
C6H9N;95.145;39538
C2H6Se;109.041;11648
C2H6S;62.13;1068
C2H6O2S;94.128;6213
C2H6OS;78.129;679
C3H7NS;89.156;69794
C13H28;184.367;519389
C7H4ClIO;266.462;74378
C10H10;130.19;66666
C2H6;30.07;6324
C3H6OS;90.14;73750
C2H4;28.054;6325
C6H14O3;134.175;8146
C5H12O;88.15;12256
C7H14O3;146.186;12989
C8H10;106.168;7500
C6H14O;102.177;7358
C8H16O;128.215;31241
C8H16O2;144.214;379
C8H18O;130.231;7720
C2H8N2;60.1;29062
C4H8O3;104.105;522046
C9H18;126.243;35412
C11H17NO2;195.262;108434
C3H8S;76.157;6364
C14H15N;197.281;292893
C5H11NS;117.21;146884
C6H8S;112.19;13388
C5H10OS;118.194;229467
CH2O;30.026;712
C4H4O;68.075;8029
C5H6O2;98.101;7361
C4H4O2;84.074;10341
C5H4O2;96.085;7362
C17H36;240.475;12398
C16H32O;240.431;984
C16H34;226.448;11006
C16H34O;242.447;2682
H4N2;32.046;9321
H2;5.034;58838673
CHN;27.026;768
H2S;34.076;18779926
C12H14O;174.243;78605
C8H8O2;136.15;7469
C3H7NO2;89.094;94220
C10H15N;149.237;572331
C7H5NO;119.123;7672
C3H4ClNO;105.521;16035
C7H12O2;128.171;85735
C7H11NS;141.232;14289
C5H7N;81.118;20912
CH3NO;45.041;713
CH5N;31.058;6329
CH4;16.043;297
CH4S;48.103;878
CH4O;32.042;887
