formula;mass;pubChemId;nHBDB
C5H12N2O;116.164;12437;864
C6H16N2;116.2;76888;1007
C8H7N;117.15;575987;956
C5H11NS;117.21;146884;264
C8H6O;118.135;9223;136
C6H14O2;118.176;8133;155
C9H10;118.179;9309;140
C9H10;118.179;10326;580
C9H10;118.179;11904;758
C9H10;118.179;7407;759
C9H10;118.179;12161;778
C9H10;118.179;252325;821
C5H10OS;118.194;229467;266
C7H5NO;119.123;7672;284
C3H5NO2S;119.14;75283;1040
CHCl3;119.369;6212;169
C5H12O3;120.148;12190;211
C8H8O;120.15;998;932
C8H8O;120.151;7410;122
C8H8O;120.151;10722;866
C9H12;120.195;7406;176
C9H12;120.195;11903;521
C9H12;120.195;12100;522
C9H12;120.195;12160;523
C9H12;120.195;7668;844
C9H12;120.195;7947;869
C9H12;120.195;10686;870
C9H12;120.195;7247;871
C6H13Cl;120.62;12521;170
C7H7NO;121.139;7671;190
C8H11N;121.183;7670;57
C8H11N;121.183;949;405
Sb;121.76;5354495;18
C7H6O2;122.123;20144841;137
C8H10O;122.16;637516;935
C8H10O;122.16;6054;1047
C8H10O;122.167;7948;359
C8H10O;122.167;10687;921
C9H14;122.211;139918;129
C9H14;122.211;572074;460
C9H14;122.211;138556;841
C7H8O2;124.139;14514;127
C7H8O2;124.139;76662;541
C7H8O2;124.139;460;604
C8H12O;124.183;13612;123
C8H12O;124.183;556900;636
C8H12O;124.183;41520;882
C9H16;124.227;5370123;227
C9H16;124.227;81203;441
C9H16;124.227;520966;583
C9H16;124.227;138578;651
C9H16;124.227;138092;845
C5H6N2O2;126.11;558451;1039
C7H10O2;126.155;98471;124
C7H10O2;126.155;102550;502
C6H10N2O;126.159;22055;317
C8H14O;126.199;9862;303
C9H18;126.24;138892;1011
C9H18;126.243;35412;260
C9H18;126.243;19503;524
C9H18;126.243;5364590;784
C9H18;126.243;5364445;785
C9H18;126.243;5364453;786
C9H18;126.243;15507;874
C9H18;126.243;91517;875
C9H18;126.243;35363;876
C9H18;126.243;252326;877
C10H8;128.17;9231;949
C7H12O2;128.17;85071;979
C7H12O2;128.171;85735;286
C7H12O2;128.171;544782;709
C10H8;128.174;931;319
C8H16O;128.21;16021;930
C8H16O;128.21;27470;1023
C8H16O;128.215;31241;255
C8H16O;128.215;92927;664
C8H16O;128.215;13572;665
C8H16O;128.215;12210;666
C8H16O;128.215;454;788
C8H16O;128.215;8093;790
C8H16O;128.215;246728;791
C9H20;128.25;16663;934
C9H20;128.259;14062;228
C9H20;128.259;26375;442
C9H20;128.259;16656;443
C9H20;128.259;16662;444
C9H20;128.259;14069;445
C9H20;128.259;13558;446
C9H20;128.259;18591;706
C9H20;128.259;16664;707
C9H20;128.259;16665;708
C9H20;128.259;8141;781
C9H20;128.259;14045;891
C9H20;128.259;28022;892
C9H20;128.259;19041;893
C9H20;128.259;13533;894
C9H20;128.259;28024;895
C6H11NO2;129.159;15543;318
C6H11NO2;129.159;14285;780
C6H10O3;130.14;70;952
C7H14O2;130.187;12209;117
C7H14O2;130.187;12278;362
C7H14O2;130.187;31276;363
C7H14O2;130.187;7770;373
C7H14O2;130.187;8094;544
C7H14O2;130.187;24020;609
C7H14O2;130.187;7945;611
C7H14O2;130.187;537793;843
C10H10;130.19;66666;246
C10H10;130.19;66041;492
C8H18O;130.231;7720;257
C8H18O;130.231;7821;530
C9H9N;131.178;7224;306
C9H9N;131.178;11978;694
C9H9N;131.178;70275;695
C2HCl3;131.38;6575;350
C6H12O3;132.159;7946;114
C6H12O3;132.159;8095;366
C7H16O2;132.2;537092;1010
C7H16O2;132.203;21210;157
C10H12;132.206;62385;8
C10H12;132.206;16266;435
C10H12;132.206;16694;487
C10H12;132.206;21476;490
C10H12;132.206;33937;503
C10H12;132.206;24143;539
C10H12;132.206;13030;751
C10H12;132.206;5370622;818
C10H12;132.206;5356732;819
C10H12;132.206;74871;820
C5H12N2S;132.225;17725;345
C4H12Ge;132.77;70079;344
C6H6N4;134.14;1367;1009
C9H10O;134.17;34225;951
C6H14O3;134.175;8146;250
C9H10O;134.178;22015;6
C9H10O;134.178;8500;367
C9H10O;134.178;11340;741
C10H14;134.222;10703;4
C10H14;134.222;7705;380
C10H14;134.222;7463;390
C10H14;134.222;14095;391
C10H14;134.222;7734;397
C10H14;134.222;8864;398
C10H14;134.222;13621;437
C10H14;134.222;13627;438
C10H14;134.222;15653;513
C10H14;134.222;13403;514
C10H14;134.222;13629;515
C10H14;134.222;527424;590
C10H14;134.222;10812;697
C10H14;134.222;14091;753
C10H14;134.222;10263;858
C10H14;134.222;10695;859
C10H14;134.222;7269;860
C7H15Cl;134.647;12371;172
C7H5NS;135.184;7222;3
C8H8O2;136.15;7469;281
C9H12O;136.19;12053;937
C9H12O;136.19;7147;944
C10H16;136.23;10047;1028
C10H16;136.238;6616;158
C10H16;136.238;5281553;471
C10H16;136.238;6434062;472
C10H16;136.238;22311;587
C10H16;136.238;31253;779
C10H16;136.238;11142;816
C10H16;136.238;7460;817
C10H16;136.238;14896;823
C10H16;136.238;6654;824
C10H16;136.238;7462;851
C10H16;136.238;66841;852
C10H16;136.238;7461;853
C10H16;136.238;11463;854
C10H16;136.238;26049;873
C6H13ClO;136.619;545871;168
C7H7NO2;137.138;227;31
C8H10O2;138.166;31236;327
C9H14O;138.21;93019;126
C9H14O;138.21;19602;814
C9H14O;138.21;141033;941
C10H18;138.254;520985;233
C10H18;138.254;5365898;463
C10H18;138.254;5352478;464
C10H18;138.254;519299;465
C10H18;138.254;14299;582
C10H18;138.254;517974;591
C10H18;138.254;12504268;592
C10H18;138.254;10369;593
C10H18;138.254;549098;752
C10H18;138.254;520731;887
C10H18;138.254;549686;888
C5H8Cl2;139.019;548852;202
C6H8N2O2;140.142;70122;237
