label	mass	lower integration limit	upper integration limit
(C10H12O2)H+	165.0910034	165.0349121	165.1470947
(C3F6O)+	165.984787	165.928421	166.041153
(C9H10O3)+	166.0624542	166.0060577	166.1188507
(C13H10)+	166.0776978	166.0213013	166.1340942
(C11H18O)+	166.1352081	166.0787964	166.1916199
(C9H10O3)H+	167.0702667	167.0135651	167.1269684
(C13H10)H+	167.0855408	167.0288239	167.1422577
(C13H18)+	174.1403046	174.0813751	174.199234
(C13H18)H+	175.1481323	175.0888824	175.2073822
(C10H10O3)+	178.0624542	178.0022736	178.1226349
(C11H15NO)H+	178.1226196	178.0624237	178.1828156
(C14H10)H+	179.0855408	179.0250397	179.1460419
(C11H14O2)H+	179.1066589	179.0461426	179.1671753
(C8H18O4)H+	179.1277924	179.067276	179.1883087
C6Cl3H3+	179.9294586	179.8686829	179.9902344
(C13H9N)H+	180.0807648	180.0199432	180.1415863
(C14H12)+	180.093338	180.0325165	180.1541595
(C12H20O)+	180.1508636	180.0900269	180.2117004
C6Cl3H4+	180.9372406	180.8761444	180.9983368
(C12H8N2)H+	181.0760345	181.0148926	181.1371765
(C14H12)H+	181.101181	181.0400391	181.162323
(C12H20O)H+	181.1586914	181.0975342	181.2198486
(C11H20N2)H+	181.1699219	181.1087494	181.2310944
(C14H14)+	182.1090088	182.0475464	182.1704712
(C9H10O2S)H+	183.0474243	182.9856567	183.1091919
(C13H10O)H+	183.0804443	183.0186768	183.1422119
(C14H18)+	186.1403046	186.0775604	186.2030487
(C14H18)H+	187.1481323	187.0850525	187.2112122
C6Cl3H4 iso57ppm+	188.9369507	188.8733063	189.0005951
(C14H20)H+	189.1637726	189.1000519	189.2274933
(C13H18O)H+	191.1430359	191.0786896	191.2073822
(C15H12)+	192.093338	192.0286865	192.1579895
(C15H12)H+	193.101181	193.0361938	193.1661682
(C12H16O2)H+	193.1222992	193.057312	193.1872864
(C12H19NO)H+	194.1539307	194.0886078	194.2192535
(C10H10O4)H+	195.0651855	194.9995728	195.1307983
(C12H18O2)H+	195.1379547	195.0723267	195.203598
(C15H16)H+	197.1324768	197.0661926	197.198761
(C15H18)H+	199.1481323	199.0812073	199.2150574
(C13H16N2)H+	201.1386261	201.0710602	201.206192
(C12H28N2)H+	201.2325287	201.1649323	201.3001251
(C16H10)H+	203.0855408	203.0173492	203.1537323
(C13H18N2)H+	203.1542664	203.0860443	203.2224884
C6H5I+	203.9430542	203.8745728	204.0115356
(C15H24)+	204.1872253	204.1186676	204.2557831
(C12H19N3)+	205.1573486	205.0884857	205.2262115
(C15H24)H+	205.1950684	205.1261902	205.2639465
(C16H18)H+	211.1481323	211.0773163	211.2189484
(C18H12)+	228.093338	228.0169983	228.1696777
(C15H33N)H+	228.2685699	228.1921844	228.3449554
(C18H20)H+	237.1637726	237.0844727	237.2430725
(U)H+	239.0072784	238.9273682	239.0871887
(C18H22)H+	239.1794281	239.0994568	239.2593994
Salbutamol-H+	240.1598053	240.0800018	240.2400055
TIC 50 500	250	50	500
C6H5I2+	330.8475342	330.7372131	330.9578552
Fluticasone propionate H+	501.191803	501.1117859	501.2717896
